asset,feature_mode,number_of_features,selected_components,variance_explained,cross_validation_rmse,pca_rmse,pca_mae,pca_r_squared,pca_directional_accuracy,pca_prediction_correlation,zero_rmse,previous_return_rmse,ridge_rmse,ridge_r_squared,ridge_directional_accuracy,pca_beats_zero,pca_beats_previous_return,pca_beats_ridge,strategy_total_return,strategy_sharpe,average_turnover
NPCK,all_assets,51,1,0.23476057584962332,0.018649048941470913,0.0200654785979152,0.015718367286737,0.004727073405095372,0.52,0.13930306698536038,0.020129073977273055,0.026160882155413585,0.02006251880317909,0.005020670818355111,0.51,True,True,False,0.4993731672047317,1.7634261753146165,0.345
MSDP,all_assets,51,10,0.4749952881793643,0.023424324822057932,0.021472417498220448,0.016822233915599925,-0.007152566135955274,0.475,0.06326686818256022,0.021476300237780584,0.02925835801955163,0.02227882841796015,-0.08422165118410074,0.505,True,True,True,-0.1316234190043073,-0.3509689659623835,0.945
EORC,all_assets,51,1,0.23476057584962332,0.022188214118551923,0.020794187745186567,0.016696315931312752,-0.01230509676057312,0.495,0.04596999585968191,0.02076904262242779,0.029224030180032612,0.022125390828656524,-0.14606540650308153,0.455,False,True,True,0.016085420431125597,0.22563499038411017,0.505
CUBO,all_assets,51,10,0.4749952881793643,0.016110152232524298,0.01655362013825984,0.013138759271593416,0.011429432673562001,0.52,0.1390521462822089,0.016659894855265138,0.02574665257207435,0.016614146989216858,0.004186974081132111,0.515,True,True,True,0.15803958781593086,0.830045870894226,0.905
HRET,all_assets,51,5,0.3730132634892758,0.022494430803056183,0.022606726007707904,0.017547882696001847,-0.05027064036739182,0.515,-0.06739336791203475,0.022069064018109152,0.03215994819417486,0.022252536139527546,-0.017618312886618526,0.545,False,True,False,-0.029629634760572232,0.06696014647790954,1.005
ANSO,all_assets,51,3,0.3265312012314527,0.021272350595080713,0.021862054030466243,0.017343941540767963,-0.024711443322112503,0.425,-0.15384108710819872,0.021596984832172438,0.03106989728825871,0.0225694240509244,-0.09209548716489224,0.51,False,True,True,-0.5325106496041323,-2.6510344720823267,0.845
DIHO,all_assets,51,1,0.23476057584962332,0.020522825425529793,0.02177375159568888,0.017355035700524057,-0.008052078441661337,0.46,0.04775937157551379,0.021736963314280888,0.029559567825136277,0.02207382090379902,-0.03602794663550002,0.475,False,True,True,0.21141072947556583,0.8706053096818825,0.945
RTTH,all_assets,51,5,0.3730132634892758,0.03261839298057439,0.03243351115064682,0.0257040413949577,0.0052255340660031235,0.55,0.08824647038165964,0.032544360315915365,0.044474145009678036,0.03338337382850086,-0.053894522859678995,0.495,True,True,True,1.134890744760313,2.1189678855708536,0.805
SPLZ,all_assets,51,2,0.28837192168513626,0.02451797638108503,0.025432517910427933,0.020465261246439884,-0.02935842607126604,0.48,-0.00911490786058912,0.025188277205217106,0.03715341324589316,0.027154193695889402,-0.17344227165861859,0.495,False,True,True,-0.17741057004645455,-0.41463759038620324,0.945
NWIG,all_assets,51,1,0.23476057584962332,0.02154650704041065,0.020487245586289723,0.016195949654635652,-0.0007495868945659456,0.49,0.08809253622891781,0.020498316841757902,0.029308163138229468,0.020632941839205332,-0.015033978261301373,0.555,True,True,True,0.04323182479964105,0.32589569988092876,0.505
MMBT,all_assets,51,5,0.3730132634892758,0.041015724971608616,0.0430905474079374,0.03478954939932121,-0.00012985697213818703,0.56,0.06117520881451738,0.04339454228483384,0.06028198395661969,0.04696882790278812,-0.18826092292126329,0.46,True,True,True,1.7299759333614024,2.193859420765835,0.705
MDGI,all_assets,51,1,0.23476057584962332,0.022131778176609464,0.02016757463468405,0.016193418152807997,-0.005014951610030849,0.56,0.03632323840021436,0.02027791604582451,0.029034209075119537,0.02082307861090842,-0.07140841851929114,0.545,True,True,True,0.6521738051256496,2.1395369188604527,0.325
AGVF,all_assets,51,1,0.23476057584962332,0.02045254408420323,0.0196207222789751,0.016046879757591507,-0.004381462032529981,0.495,-0.06378668008098001,0.01962300539789816,0.027612418890142324,0.02052053333150295,-0.09861619049330783,0.505,True,True,True,0.01144102798209401,0.20162860088421217,0.215
RRES,all_assets,51,5,0.3730132634892758,0.02443837149033144,0.02395229343921193,0.01875165062689978,0.03430120146575988,0.585,0.20378822215485076,0.02437562530333831,0.03389950297015321,0.025071931859932242,-0.058091149151646926,0.515,True,True,True,0.9864253382879362,2.4498355043102626,0.895
CTGI,all_assets,51,1,0.23476057584962332,0.030087315803566047,0.02953836665918351,0.02419109946518018,-0.004642578241090822,0.535,0.02678514945459678,0.02954390726548077,0.04176390462300323,0.03012646885768777,-0.04504523060587373,0.52,True,True,True,0.4625171382335007,1.2565575110489342,0.805
ALUT,all_assets,51,1,0.23476057584962332,0.021316681872460254,0.021255501712502428,0.016943824023133658,-0.012860781112152164,0.46,-0.07136388102917895,0.021123062005030717,0.030679984703179862,0.02140311628414509,-0.026977801646863142,0.525,False,True,True,-0.35991060609166037,-1.5111134614443222,0.965
ACAC,all_assets,51,1,0.23476057584962332,0.019521091745442844,0.017619962889566985,0.013671196091533387,-0.0003155672739021398,0.54,0.09798819471019836,0.01763281883870103,0.026268259509659057,0.018554035143635735,-0.10918451649997007,0.5,True,True,True,0.018349852896448526,0.22158848527383398,0.505
SRTX,all_assets,51,2,0.28837192168513626,0.020494552031076075,0.019176561251579814,0.01561401616191898,-0.040055866290575004,0.485,-0.06214523203506761,0.01892486241694365,0.025960130660462623,0.01881273264661033,-0.0009651825616683318,0.58,False,True,False,-0.200245250602061,-0.7857333869242579,0.905
GARI,all_assets,51,5,0.3730132634892758,0.022481919819948647,0.022619216901167437,0.01804248772289748,0.015860267389206095,0.56,0.1660442211708472,0.02284459253269296,0.03184083802748011,0.02352320070468781,-0.06437450600158856,0.55,True,True,True,1.0198220384597545,2.6522923483218355,0.985
RCRI,all_assets,51,8,0.43606744290671073,0.033833748608113196,0.0359475780619387,0.02848521891157614,0.0051178362645090125,0.505,0.0863655574411771,0.036043405559768184,0.04645699742815006,0.03640232182149251,-0.02021227260389602,0.52,True,True,True,1.0704181631311722,1.8945566425115343,1.045
ACIX,all_assets,51,1,0.23476057584962332,0.016562826623120697,0.017334361792543117,0.013777092122050891,0.0021325893875271396,0.495,0.04626609856714981,0.017366822274353943,0.025059989925627968,0.018604958845246676,-0.14951476317749335,0.485,True,True,True,0.021924282802294304,0.2366756946739081,0.585
CCNS,all_assets,51,1,0.23476057584962332,0.022443081956934636,0.02364970878871962,0.01918236458800223,-0.00692937766955648,0.505,-0.0347867526851539,0.023579452040925708,0.03398213798713126,0.02557494449010682,-0.1775431122454103,0.45,False,True,True,-0.004579018094305276,0.17165619973770102,0.805
